id,grocery_bill_id,item_name,qty,unit_price,line_total
9fafa939-805d-45ea-93a4-8c2ac03f1fce,56dc648d-f20c-43ed-a30d-60f598082c50,coffee,3.000,5.00,15.00
a06ec467-1fee-48df-a291-90b490976fc2,0f2a552e-5cbe-4ba5-bd21-e2e409b29009,ORANGE EGYPT Pcs (Pcs),6.000,400.00,24.00
a1cda38a-2bb2-4aa2-86e1-601a03b22bf8,56005432-4401-4be2-b21f-0870f7d926ef,Drumstick,1.000,70.00,70.00
a206a283-48e9-45dc-9347-e9bd0ce4fa86,616b7cc8-bdee-4fda-9065-24aab9a12cde,Passion Fruit Lanka,0.520,135.00,70.20
a526fc9f-cd22-4843-9792-6723201b3311,0f2a552e-5cbe-4ba5-bd21-e2e409b29009,RED BELL PEPPER Kg (Kg Sw),0.220,90.00,3.00
a9dc66cf-daeb-4a29-8036-9ce05f74318f,e064b60f-ccdf-47f6-8342-498c7cf6ec01,SMK gold & White,6.000,9.26,55.56
b28b5961-cbd1-42c7-a833-cc8a38c97e1b,e064b60f-ccdf-47f6-8342-498c7cf6ec01,Slim Long Premium Filter,3.000,23.15,69.45
b2e5c8cc-c5e7-4530-b696-25af60ae7567,0f2a552e-5cbe-4ba5-bd21-e2e409b29009,BANANA BUNCH INIO Kg ne,6.000,25.00,3.00
b36a63c6-47b9-4dd5-a88d-a682e7c65a9a,5dbd1e96-a7f5-40a7-ab59-54082c043f75,Watermelon,3.280,27.00,88.56
b59908c2-b392-46c7-838f-f8d04e145cfb,d2fa1ebf-1b8c-44b1-9e26-7c15c458e3ab,Sugar,5.000,4.00,20.00
b90e7a10-4bae-4fbc-8094-6fba74e9b3fc,54a70f2d-cc95-4793-98a3-0e3fb9b63d22,plastic bag fees,1.000,2.00,2.00
bb4639be-b36c-48db-be3e-0982da339677,0f2a552e-5cbe-4ba5-bd21-e2e409b29009,BROCOLLI EGYPT Kg Va,63.000,30.00,18.90
c2b43419-fe54-47bf-a617-e915e690ad28,616b7cc8-bdee-4fda-9065-24aab9a12cde,Capsicum India,0.370,85.00,31.45
c77154ab-ff68-4bd4-84e4-ab1826df09ce,b3f26559-3e91-4739-b1fc-bef0b8a25094,BROCOLLI EGYPT Kg Va,63.000,30.00,18.90
cba64133-c750-4ec4-9b5f-7b2b86274b33,b3f26559-3e91-4739-b1fc-bef0b8a25094,ONION INDIA BOAT Kg TOA (Kg NC),1.160,10.00,11.60
cfa622a0-71a1-45f5-a2d1-eee99bfb4d4c,0f2a552e-5cbe-4ba5-bd21-e2e409b29009,Kg D% %Danage # Ze,1.000,70.00,2.00
d13c1578-a17a-4df4-9dad-307bfa24b235,142fc339-8261-4feb-bbf8-e5dd719690f5,Vatika Hair Cream,1.000,55.00,55.00
d40fe755-deb9-4019-9c7f-337f35d73a63,142fc339-8261-4feb-bbf8-e5dd719690f5,Lotion,1.000,108.00,108.00
d48269c8-5dc5-4474-9b3e-7894d2a35b9d,ed1de5d5-5f66-4090-bba9-f184e04440ff,Chips More,2.000,25.00,50.00
e0b25b70-a34a-4ff2-9c00-02d027cae9d9,5c70d62a-7f34-4fed-81c9-b5931664a73d,Dove Spray,2.000,46.00,92.00
e0bf991c-9c87-46b8-a441-d134c39eb0fb,616b7cc8-bdee-4fda-9065-24aab9a12cde,Munch Marie,1.000,24.52,24.52
e16270e9-bd54-4b8d-a883-4152a75f3c94,3e9c450b-9890-4e6e-a0ad-82b2cf0a422a,Nestle Cream,2.000,39.99,79.98
e27275cd-5550-48bd-807e-2c250c151a88,616b7cc8-bdee-4fda-9065-24aab9a12cde,Bega Cheese,1.000,60.00,60.00
e27bd79d-3b23-4c73-bf2e-50282b25ec20,0f2a552e-5cbe-4ba5-bd21-e2e409b29009,ONION INDIA BOAT Kg TOA (Kg NC),1.160,10.00,11.60
e6257340-5104-4604-8d8b-4a097b1eb4bc,b3f26559-3e91-4739-b1fc-bef0b8a25094,Kg D% %Damage Er,1.000,2553.00,2553.00
e6bf7209-9a0b-4cab-a5ba-4b9a5ac8e8fc,0f2a552e-5cbe-4ba5-bd21-e2e409b29009,SWEET POTATO EC Kg © i,42.000,20.00,840.00
e823668f-8b73-4523-bcf8-13af4bc7977e,b3f26559-3e91-4739-b1fc-bef0b8a25094,RED BELL PEPPER Kg (Kg Sw),0.220,90.00,3.00
e92e223e-3123-47e4-9d2d-aaa22aba5845,54a70f2d-cc95-4793-98a3-0e3fb9b63d22,Sugar,2.000,5.00,10.00
e98defe6-585e-485b-9221-2b0f771a480a,616b7cc8-bdee-4fda-9065-24aab9a12cde,Ginger China,0.480,50.00,24.00
e9cf76b9-1851-4b27-a945-be9b120b7954,56005432-4401-4be2-b21f-0870f7d926ef,Boneless Chicken 2kg,3.000,110.00,330.00
f22cd2a1-ddf0-437a-b6b8-859d341c5803,616b7cc8-bdee-4fda-9065-24aab9a12cde,Chinese Cucumber,0.390,65.00,25.35
f5077156-bea6-44d8-9312-c3a49acf55f9,616b7cc8-bdee-4fda-9065-24aab9a12cde,French Fries 7mm,1.000,27.00,27.00
f58d8933-8178-4a67-8c27-3f43176d2661,616b7cc8-bdee-4fda-9065-24aab9a12cde,Leeks Lanka,0.470,85.00,39.95
f8919452-742e-4124-8c3b-ae6e2078ee49,d2fa1ebf-1b8c-44b1-9e26-7c15c458e3ab,Flour,4.000,5.00,20.00
